x,y
0,9.723
1,3.829
2,3.972
3,2.663
4,1.922
5,1.952
6,3.829
7,1.873
8,1.912
9,1.468
10,3.898
11,1.248
12,2.823
13,2.13
14,2.246
15,8.86
16,1.139
17,4.339
18,2.848
19,3.747
20,1.574
21,1.139
22,1.809
23,1.725
24,3.829
25,1.962
26,2.529
27,2.193
28,3.169
29,1.847
30,4.234
31,4.457
32,3.636
33,4.234
34,2.665
35,3.071
36,4.745
37,2.206
38,2.548
39,2.317
40,2.899
41,2.529
42,3.04
43,3.204
44,2.708
45,5.171
46,2.645
47,2.799
48,2.645
49,2.605
50,3.829
51,3.898
52,18.517
53,4.052
54,4.745
55,3.703
56,4.139
57,3.703
58,4.339
59,3.898
60,3.103
61,3.829
62,7.657
63,3.972
64,2.848
65,13.772
66,3.764
67,4.339
68,3.541
69,4.234
70,3.359
71,3.318
72,4.234
73,4.139
74,3.204
75,4.457
76,0.288
